City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alibag,18.6411,72.8792,82.4,78,20,8.9,IN,1619129798
Barrow,71.2906,-156.7887,19.4,79,1,8.05,US,1619129324
Sørland,67.667,12.6934,30.2,93,75,3.44,NO,1619129799
Norman Wells,65.282,-126.8329,26.6,50,75,12.66,CA,1619129376
Pitimbu,-7.4706,-34.8086,78.8,100,0,6.91,BR,1619129799
Mataura,-46.1927,168.8643,50.0,98,97,5.99,NZ,1619129461
Lebu,-37.6167,-73.65,53.62,71,86,3.13,CL,1619129415
Port Elizabeth,-33.918,25.5701,64.4,88,0,13.8,ZA,1619129490
Shimanovsk,52.0,127.7,32.68,37,100,14.14,RU,1619129800
Thompson,55.7435,-97.8558,21.2,79,75,18.41,CA,1619129327
Vaini,-21.2,-175.2,84.2,84,75,6.91,TO,1619129285
Sakakah,29.9697,40.2064,82.4,15,40,6.91,SA,1619129531
Busselton,-33.65,115.3333,57.0,83,94,3.0,AU,1619129046
Saint George,37.1041,-113.5841,75.99,16,1,16.11,US,1619129323
Faanui,-16.4833,-151.75,81.03,74,12,15.32,PF,1619129471
Daoukro,7.0591,-3.9631,78.06,82,23,3.51,CI,1619129767
Souillac,-20.5167,57.5167,77.0,94,75,5.75,MU,1619129311
Dikson,73.5069,80.5464,28.17,91,100,23.31,RU,1619129319
Jamestown,42.097,-79.2353,34.0,86,90,13.8,US,1619129465
Marrakesh,31.6315,-8.0083,69.8,52,85,11.5,MA,1619129732
Hobart,-42.8794,147.3294,55.4,44,75,11.5,AU,1619129280
Hong Kong,22.2855,114.1577,77.0,83,0,5.06,HK,1619129222
Businga,3.3333,20.8833,74.17,83,96,1.21,CD,1619129804
Goiás,-15.5807,-49.6362,67.73,62,8,2.04,BR,1619129804
Yellowknife,62.456,-114.3525,17.6,49,75,21.85,CA,1619129023
Hermanus,-34.4187,19.2345,60.01,85,0,3.2,ZA,1619129462
